"page","2013-04-01 pi","2013-04-01 pv","2013-05-01 pi","2013-05-01 pv","2013-06-01 pi","2013-06-01 pv","2013-07-01 pi","2013-07-01 pv","2013-08-01 pi","2013-08-01 pv","2013-09-01 pi","2013-09-01 pv","2013-10-01 pi","2013-10-01 pv","2013-11-01 pi","2013-11-01 pv","2013-12-01 pi","2013-12-01 pv","2014-01-01 pi","2014-01-01 pv","2014-02-01 pi","2014-02-01 pv","2014-03-01 pi","2014-03-01 pv","2014-04-01 pi","2014-04-01 pv","2014-05-01 pi","2014-05-01 pv","2014-06-01 pi","2014-06-01 pv","2014-07-01 pi","2014-07-01 pv","2014-08-01 pi","2014-08-01 pv","2014-09-01 pi","2014-09-01 pv","2014-10-01 pi","2014-10-01 pv","2014-11-01 pi","2014-11-01 pv","2014-12-01 pi","2014-12-01 pv","2015-01-01 pi","2015-01-01 pv","2015-02-01 pi","2015-02-01 pv","2015-03-01 pi","2015-03-01 pv","2015-04-01 pi","2015-04-01 pv","2015-05-01 pi","2015-05-01 pv","2015-06-01 pi","2015-06-01 pv","2015-07-01 pi","2015-07-01 pv","2015-08-01 pi","2015-08-01 pv","2015-09-01 pi","2015-09-01 pv","2015-10-01 pi","2015-10-01 pv","2015-11-01 pi","2015-11-01 pv","2015-12-01 pi","2015-12-01 pv","2016-01-01 pi","2016-01-01 pv","2016-02-01 pi","2016-02-01 pv","2016-03-01 pi","2016-03-01 pv","2016-04-01 pi","2016-04-01 pv","2016-05-01 pi","2016-05-01 pv","2016-06-01 pi","2016-06-01 pv","2016-07-01 pi","2016-07-01 pv","2016-08-01 pi","2016-08-01 pv","2016-09-01 pi","2016-09-01 pv","2016-10-01 pi","2016-10-01 pv","2016-11-01 pi","2016-11-01 pv","2016-12-01 pi","2016-12-01 pv","2017-01-01 pi","2017-01-01 pv","2017-02-01 pi","2017-02-01 pv","2017-03-01 pi","2017-03-01 pv","2017-04-01 pi","2017-04-01 pv","2017-05-01 pi","2017-05-01 pv","2017-06-01 pi","2017-06-01 pv","2017-07-01 pi","2017-07-01 pv","2017-08-01 pi","2017-08-01 pv","2017-09-01 pi","2017-09-01 pv","2017-10-01 pi","2017-10-01 pv","2017-11-01 pi","2017-11-01 pv","2017-12-01 pi","2017-12-01 pv","2018-01-01 pi","2018-01-01 pv","2018-02-01 pi","2018-02-01 pv","2018-03-01 pi","2018-03-01 pv","2018-04-01 pi","2018-04-01 pv","2018-05-01 pi","2018-05-01 pv","2018-06-01 pi","2018-06-01 pv"
"alkis-berlin-gemarkung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","25","18","47","36","75","61","66","58","72","64"
"liste-der-häufigen-vornamen-2013","","","","","","","","","","","","","","","","","","","","","343","264","78","71","35","33","88","80","39","37","75","66","37","36","63","55","77","59","81","69","67","61","81","75","66","56","88","65","87","74","74","55","57","54","46","39","51","46","50","43","56","48","66","59","35","33","54","49","45","43","64","54","42","36","53","49","40","35","47","42","46","41","43","39","52","44","63","60","60","50","71","51","60","48","103","90","83","72","63","55","68","62","71","63","54","52","49","46","75","67","88","76","115","102","155","121","136","109","119","107","107","96","102","87","61","55"
"einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","56","48","59","36"
"baumbestand-berlin-straßenbäume-sachdaten-zur-karte-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6","5","5","5","5","8","8","5","4","7","6","18","10","14","13","5","5","6","3","","","12","10","58","51"
"deutsche-digitale-bibliothek-ddb-api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","35"
"grünanlagenbestand-berlin-einschl-der-öffentlichen-spielplätze-spielplätze-wfs-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","45"
"kleingartenbestand-berlin-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","1","1","","","4","3","4","4","2","2","6","6","1","1","3","3","13","5","1","1","3","3","6","4","4","4","7","6","5","4","4","4","10","8","4","4","6","6","2","2","5","5","3","2","1","1","1","1","1","1","","","9","6","49","43"
"vbb-fahrplandaten-api","96","87","160","135","101","88","63","55","61","55","64","58","62","54","50","41","24","24","59","53","48","44","52","46","57","54","54","45","41","38","44","39","57","46","34","34","37","35","34","31","23","20","27","27","29","28","32","31","20","19","20","20","23","22","20","18","14","14","27","26","34","32","28","27","50","49","49","48","55","54","37","37","53","51","44","41","49","49","34","32","27","27","37","35","57","50","83","78","62","60","47","46","40","39","85","75","125","119","108","103","49","45","52","47","70","67","39","38","52","49","56","54","37","36","37","36","47","46","63","58","44","39","43","41","49","46"
"einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","59","104","86","108","91","72","65","59","53","85","71","69","61","114","102","132","114","92","85","109","95","115","100","89","79","32","28","23","18","29","25","31","25","25","21","30","28","33","30","16","15","12","12","26","24","27","23","29","28","34","33","40","36","48","41"
"liste-der-stolpersteine-berlin","","","","","31","26","121","99","42","39","69","57","79","62","83","69","46","32","54","37","46","39","46","41","65","61","37","33","45","39","73","57","39","37","33","28","44","38","25","23","19","15","49","43","34","33","41","38","33","27","27","23","24","23","25","24","13","13","23","22","28","23","25","23","18","18","25","21","31","27","56","46","59","53","75","67","50","44","46","39","36","36","40","34","53","45","58","49","27","25","37","35","35","29","45","43","48","44","56","45","26","25","32","28","41","34","22","21","45","38","57","54","34","33","36","31","38","36","42","39","44","35","38","32","46","41"
"einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147","115","46","39"
"einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","119","143","122","93","76","130","109","118","102","83","73","30","28","28","28","44","41","28","26","41","33","51","44","43","40","33","28","22","20","44","41","23","22","20","18","48","42","29","28","44","42"
"baumbestand-berlin-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","8","8","32","28","20","20","12","11","9","7","13","12","6","6","4","3","4","4","3","3","4","4","7","6","11","9","6","6","11","11","14","13","14","13","6","5","5","5","6","6","15","14","6","6","9","8","6","5","1","1","1","1","7","6","42","37"
"lebensweltlich-orientierte-räume-lor-berlin","82","70","43","36","71","61","44","32","47","41","25","25","56","50","56","46","36","25","41","33","34","31","37","33","50","41","36","29","57","51","55","49","40","36","32","28","39","29","37","32","33","31","37","33","29","25","52","41","33","28","91","70","102","85","58","44","28","26","26","23","46","44","22","18","36","30","42","37","36","34","29","26","28","26","21","17","21","19","28","26","36","32","18","16","28","24","31","27","31","30","76","57","59","52","22","20","35","33","28","25","33","31","46","36","31","29","37","34","48","41","40","36","27","25","33","31","39","34","49","41","24","23","36","34","42","35"
"digitale-topographische-karte-1-10-000-dtk10-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","6","6","4","4","9","7","7","5","24","19","5","5","11","11","7","6","5","5","17","16","20","18","44","35","49","41","72","64","90","76","98","84","100","91","89","79","59","56","98","87","116","101","105","90","135","125","116","104","45","40","","","2","2","41","37"
"sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empfängerinnen-und-3","","","","","","","","","","","","","","","","","","","","","6","6","13","13","2","2","34","26","9","8","3","3","1","1","5","4","9","9","5","5","3","3","5","4","","","6","5","6","6","8","7","5","4","1","1","6","6","3","3","3","3","10","8","8","6","4","4","12","10","5","5","13","13","8","8","3","2","2","2","13","12","7","7","3","3","1","1","1","1","","","8","8","13","12","14","11","18","16","17","14","13","13","23","16","4","4","","","","","","","","","4","2","1","1","6","6","2","2","40","35"
"liste-der-diplomaten-kennzeichen-d","16","14","27","24","52","42","91","57","99","70","91","57","79","64","64","50","46","30","62","41","47","41","33","26","46","33","45","28","35","22","41","30","36","23","24","21","36","32","31","26","35","28","61","33","42","34","50","38","37","26","47","38","35","27","38","25","22","18","32","30","36","33","56","47","42","33","45","36","76","64","69","66","39","34","43","42","71","68","31","29","29","26","26","26","34","30","28","25","14","13","25","21","33","29","31","29","34","32","28","27","39","32","34","32","33","30","22","18","29","24","35","27","36","30","30","26","34","30","42","36","34","32","35","28","40","32"
"grünanlagenbestand-berlin-einschl-der-öffentlichen-spielplätze-grünanlagen-wfs-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","34"
"lod2-gebäudedaten-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","95","216","175","162","141","87","77","87","80","197","158","107","96","52","45","78","68","61","57","56","47","34","24","41","36","28","28","23","19","25","25","26","24","31","23","22","18","20","19","48","37","35","31","44","38","46","43","47","41","40","35","32","30","43","35","35","30","157","113","177","158","67","60","89","81","47","42","82","72","61","51","61","55","40","35"
"straßenverzeichnis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","16","44","36","4","3","6","5","18","12","7","7","12","8","13","10","12","10","14","11","8","7","9","7","17","15","12","11","12","9","25","17","18","17","32","28","28","19","25","18","24","16","35","26","43","35","19","18","36","23","41","29","32","22","75","67","36","28","50","36","40","32","17","13","38","27"
"einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","50","38","30"
"detailnetz-berlin-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","13","12","11","11","9","8","7","6","6","5","5","4","7","6","6","5","4","4","7","6","19","16","13","13","28","20","25","19","46","41","24","20","47","38","48","39","52","37","41","31","48","45","21","14","30","25","39","33","20","16","7","7","30","28","36","31"
"insolvenzen-im-land-berlin-und-brandenburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","10","10","7","7","16","13","5","5","35","33"
"senatsvorlagen-der-senatsverwaltung-für-finanzen","","","","","","","","","","","","","","","","","","","","","","","","","22","20","18","17","16","15","7","6","10","6","14","13","17","13","64","39","29","22","33","27","26","21","37","27","47","35","24","22","27","27","41","28","36","32","42","27","34","25","40","34","28","23","50","45","29","26","36","27","16","12","17","15","24","21","26","21","15","14","43","39","59","42","49","43","27","22","23","20","31","27","66","52","32","25","65","56","64","55","66","55","78","56","44","34","48","39","52","42","26","22","52","46","33","29","37","32","32","25","53","42","34","31"
"baumbestand-berlin-anlagenbäume-sachdaten-zur-karte-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","8","8","2","2","","","5","5","34","29"
"zuwendungsdatenbank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","42","11","10","33","29","21","16","45","40","22","22","13","9","40","28","56","44","37","31","29","23","8","6","7","7","7","6","16","14","9","9","7","5","14","12","10","7","12","9","6","6","8","7","46","38","24","23","14","13","48","39","31","27","16","14","12","11","16","15","24","20","11","11","15","12","20","18","30","29","28","25","25","16","18","15","60","46","23","19","38","33","16","16","11","10","63","51","27","27","34","27"
"karte-von-berlin-15000-k5-ausgabe-dxf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","19","3","3","12","12","33","20"
"zugriffsstatistik-datenberlinde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","27"
"einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","39","32","26"
"einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","25","25","23","40","32","45","41","28","22","42","36","64","52","46","42","44","33","39","35","45","42","49","45","70","56","45","39","23","19","32","29"
"14-radrouten-und-radverkehrsanlagen-gps-tracks-für-die-radrouten-durch-berlin","79","74","113","101","114","102","90","83","96","91","49","44","37","35","24","21","19","19","45","36","37","34","59","47","99","71","82","71","63","53","84","77","133","121","66","59","67","42","27","24","20","19","30","29","35","34","31","27","38","37","70","63","67","51","72","60","45","37","59","47","36","30","25","20","24","22","40","26","53","35","40","37","59","51","98","79","93","78","65","58","76","59","56","44","33","30","12","12","5","5","41","36","20","20","36","34","33","31","39","35","37","36","51","50","57","52","41","36","23","21","18","17","7","3","30","26","23","23","24","19","39","34","58","54","32","29"
"geometrien-der-wahlbezirke-für-die-bundestagswahl-berlin-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","29","293","250","1840","1621","219","188","132","110","91","80","74","62","39","34","36","31","39","29","32","28","32","28"
"spielplatzversorgung-öffentlich-und-privat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","6","6","2","2","7","7","2","2","3","2","1","1","13","11","1","1","1","1","","","2","2","31","29"
"luftbilder-1928-maßstab-14-000-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6","6","4","8","7","16","13","17","15","23","22","16","15","32","29","12","11","25","20","20","17","26","26","32","29","23","20","29","23","56","47","21","18","36","33","22","19","20","17","31","29"
"liste-der-verbannten-bücher-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","67","37","28","119","86","56","48","40","27","23","18","18","15","31","22","27","21","34","24","11","8","8","7","20","20","21","20","15","11","8","8","9","7","16","13","11","10","10","9","25","22","37","32","28","19"
"ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","34","28","23"
"berliner-betriebskostenübersicht-2013","","","","","","","","","","","","","","","43","40","38","33","24","24","34","29","19","18","23","23","18","18","38","34","24","24","18","16","13","12","19","17","23","22","20","20","20","18","19","19","24","21","17","16","10","10","16","16","11","11","9","8","17","15","9","8","18","17","12","12","19","19","14","14","10","10","14","13","16","16","10","10","8","8","10","10","8","7","17","16","15","15","10","10","14","13","16","16","17","16","23","22","24","23","20","18","23","21","17","15","20","17","17","17","21","20","17","17","20","19","8","8","19","17","18","18","20","17","28","24"
"einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","34","49","42","49","41","33","27","37","31","57","44","108","93","64","58","88","66","53","48","78","66","84","73","61","55","57","53","41","39","17","17","9","8","16","15","16","15","14","13","13","12","16","15","10","9","20","17","12","11","17","15","2","2","28","23"
"api-der-deutschen-digitalen-bibliothek","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","29","19","17","16","15","12","11","15","9","22","20","27","24"
"einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsräumen-am-31122017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","25","27","22"
"einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","52","25","20"
"berliner-wasserbetriebe-wasseranalysedaten-der-wasserwerke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","48","56","50","25","24","46","37","33","33","23","23","38","31","25","21"
"100-mbit-breitbandversorgung-über-alle-technologien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","9","52","42","33","27","19","15","41","32","31","27","24","16"
"detailnetz-straßenabschnitte-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","13","10","14","11","21","19","17","12","21","16","10","9","9","8","7","4","4","3","10","10","14","14","19","17","13","12","15","15","9","8","8","8","5","5","5","5","18","17","3","3","10","8","12","8","","","","","","","","","11","8","24","14"
"spielplatzversorgung-öffentlich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","23","18"
"branchenübersicht","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","18","16","8","8","4","3","6","6","14","12","13","12","16","14","6","6","8","8","12","9","47","39","19","17","12","12","21","19","15","12","40","29","8","8","17","15","18","14","42","33","23","20"
"tourismuszahlen-berlin-januar-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","20"
"alkis-berlin-gebäude","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","10","10","20","16","18","16","17","13","23","21"
"einwohnerregister-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","38","74","64","51","47","30","28","22","20"
